Cod_Cliente,Max_Valor,Mediana_Valor,Media_Valor,Std_Valor,Num_Transacciones,Hora_Mas_Frecuente,Dia_Semana_Mas_Frecuente,Mes_Mas_Frecuente,Num_PAGO_TARJETA_CREDITO,Num_REMESAS,Num_TRANSFER_BANCOS,Num_TRANSFER_EXTERNAS,Num_TRANSFER_INTERNACIONAL,Num_TRANSFER_INTERNAS
1602096,1000.0,353.0,333.14285714285717,192.9365921006914,21,12973,5,1,0,0,10,0,0,11
1602097,1280.0,75.0,180.53621621621622,287.90960046660626,37,28662,2,1,14,0,23,0,0,0
1602098,500.0,40.0,72.29514492753623,80.74148779554844,138,36435,2,3,20,0,73,1,0,44
1602099,3000.0,2500.0,2250.0,957.427107756338,4,37075,6,1,0,0,1,0,0,3
1602100,600.0,60.0,120.28571428571429,113.02617381114234,35,36718,2,12,0,0,27,0,0,8
1602101,190.0,123.0,123.0,94.75230867899737,2,64404,1,5,0,0,2,0,0,0
1602102,210.0,150.0,150.0,84.8528137423857,2,55777,4,1,1,0,1,0,0,0
1602103,151.2,20.0,43.44285714285714,55.939842305309156,7,27819,6,2,4,0,3,0,0,0
1602104,890.0,434.0,503.42857142857144,286.3377127000314,7,30436,1,1,0,0,7,0,0,0
1602105,260.0,100.0,142.94444444444446,76.80339470302401,18,28324,5,10,0,0,11,0,0,7
1602106,100.0,100.0,100.0,,1,45719,2,5,0,0,1,0,0,0
1602107,97.0,93.62,91.54,6.744983320957879,3,33910,4,1,3,0,0,0,0,0
1602108,300.0,300.0,300.0,,1,45024,1,7,0,0,1,0,0,0
1602109,1000.0,410.0,515.1851851851852,271.8083370313944,27,25161,6,5,11,0,16,0,0,0
1602110,350.0,100.0,183.33333333333334,144.33756729740645,3,33041,1,8,0,0,3,0,0,0
1602111,2800.0,2150.0,2150.0,919.2388155425118,2,66125,2,8,0,0,2,0,0,0
1602112,500.0,50.0,93.66666666666667,113.39679595708749,21,31285,3,8,5,0,12,0,0,4
1602113,1000.0,520.0,503.7718181818182,448.58477678036616,33,29645,2,12,0,0,0,0,0,33
1602114,100.0,90.0,80.0,28.284271247461902,4,36498,1,1,0,0,0,0,0,4
1602115,1584.93,1584.93,1584.93,,1,56884,6,10,0,0,1,0,0,0
1602116,1500.0,200.0,296.62857142857143,285.9987506619292,63,22636,5,10,0,0,63,0,0,0
1602117,350.0,350.0,350.0,,1,36916,6,3,0,0,1,0,0,0
1602118,1175.0,270.0,357.9395348837209,319.03661093057053,43,17848,2,8,0,0,37,0,0,6
1602119,380.0,200.0,189.0,121.88108959145384,5,33247,5,3,0,0,5,0,0,0
1602120,4700.0,200.0,768.3874603174604,1179.8511696669264,63,32945,2,5,10,0,51,0,0,2
1602121,670.0,150.0,173.36411764705883,158.63104019464566,17,38928,4,8,0,0,0,0,0,17
1602122,902.72,50.4,160.13684210526316,262.7342844238184,19,27761,5,12,0,0,19,0,0,0
1602123,270.0,165.25,165.25,86.42964383435427,4,44604,2,2,0,0,3,0,0,1
1602124,800.0,105.0,207.51999999999998,216.22785930231456,14,27428,3,2,6,0,8,0,0,0
1602125,76.0,76.0,76.0,0.0,4,35299,5,9,0,0,4,0,0,0
1602126,2100.0,249.59,433.54891304347825,452.70958174199774,46,31602,2,4,0,0,35,0,0,11
1602127,1229.0,305.5,425.60625,374.9884291524397,8,33944,6,1,0,0,8,0,0,0
1602128,2000.0,286.0,376.8139393939394,377.5121718728036,33,29381,4,2,0,0,18,0,0,15
1602129,1983.57,993.45,1044.0357142857142,614.497505780934,14,31138,3,3,14,0,0,0,0,0
1602130,850.0,100.0,178.42705882352942,258.4884903328557,17,30565,2,12,0,0,17,0,0,0
1602131,1450.0,96.62,192.67461538461538,380.88375857154864,13,33947,2,3,10,0,3,0,0,0
1602132,522.0,33.25,75.664,110.06705159272593,20,29018,5,11,0,0,19,0,0,1
1602133,150.0,100.0,104.0,27.018512172212596,5,34251,1,8,3,0,2,0,0,0
1602134,96.0,65.0,67.5,27.440845468024488,4,34121,4,12,2,0,2,0,0,0
1602135,350.0,100.0,150.0,135.400640077266,4,40932,5,4,2,0,2,0,0,0
1602136,523.0,136.0,199.83333333333334,159.91631740203553,36,40016,2,9,0,0,34,2,0,0
1602137,1200.0,1200.0,1200.0,,1,32709,6,4,0,0,1,0,0,0
1602138,2938.0,2938.0,2938.0,0.0,2,7140,1,10,0,0,2,0,0,0
1602139,785.0,785.0,785.0,,1,44041,2,12,0,0,1,0,0,0
1602140,2010.0,410.0,481.71875,384.65847729281325,32,18652,6,5,0,0,32,0,0,0
1602141,2087.0,595.035,789.5116666666667,701.6217747594973,6,36816,2,5,0,0,6,0,0,0
1602142,1000.0,455.0,523.1818181818181,290.14588060944794,22,25480,2,12,2,0,20,0,0,0
1602143,75.0,75.0,75.0,0.0,2,30986,3,4,0,0,2,0,0,0
1602144,200.0,176.01,166.91333333333333,31.44201562665261,6,33194,2,12,2,0,4,0,0,0
1602145,88.94,60.0,68.72,17.566115108355632,3,32551,5,1,3,0,0,0,0,0
1602146,942.19,180.22,255.0742105263158,251.1562470141341,38,34839,2,6,7,0,20,0,0,11
1602147,600.0,600.0,500.0,173.20508075688772,3,28331,2,3,0,0,3,0,0,0
1602148,300.0,113.0,151.66666666666666,133.27540408242373,3,42078,2,9,0,0,0,0,0,3
1602149,4380.0,1250.0,1555.0,1560.6889504318276,6,29990,3,12,0,0,3,0,0,3
1602150,350.0,350.0,350.0,,1,33591,6,3,0,0,1,0,0,0
1602151,2000.0,1500.0,1500.0,707.1067811865476,2,41885,3,11,0,0,2,0,0,0
1602152,4500.0,4500.0,4500.0,,1,78424,4,12,0,0,1,0,0,0
1602153,1000.0,350.0,408.0,259.4279421011876,15,23932,6,3,0,0,15,0,0,0
1602154,500.0,75.0,135.23,147.00720588399122,12,33965,4,5,0,0,0,12,0,0
1602155,1970.0,1233.0,1233.0,1042.275395468971,2,76749,5,3,0,0,2,0,0,0
1602156,4038.0,4038.0,4038.0,,1,39472,6,7,0,0,0,0,0,1
1602157,991.65,245.0,289.61785714285713,235.057387106886,14,32657,2,12,0,0,14,0,0,0
1602158,1600.0,150.0,246.4308108108108,235.63640635961434,74,46622,4,5,9,0,39,26,0,0
1602159,3000.0,280.0,535.9638095238095,715.0757355027242,21,32313,2,10,0,0,19,0,0,2
1602160,1000.0,200.0,243.66090909090912,216.5953247434009,66,31605,5,8,20,0,46,0,0,0
1602161,700.0,125.0,163.02555555555557,157.64754337471095,72,32671,3,5,12,0,57,0,0,3
1602162,500.0,55.0,145.51,199.96706103756188,5,37548,2,11,0,0,5,0,0,0
1602163,500.0,115.62,179.75363636363636,154.60876619860386,11,32748,6,5,6,0,5,0,0,0
1602164,450.0,425.0,425.0,35.35533905932738,2,54629,2,8,0,0,1,1,0,0
1602165,250.0,100.0,123.14285714285714,73.39942908821696,7,37309,2,11,0,0,7,0,0,0
1602166,2000.0,400.0,800.0,758.946638440411,6,24111,3,3,0,0,6,0,0,0
1602167,470.0,240.0,217.0,130.8230356881641,16,38919,6,1,6,0,2,6,0,2
1602168,1200.0,1075.0,1075.0,176.7766952966369,2,45927,1,6,0,0,2,0,0,0
1602169,350.0,150.0,154.64285714285714,96.20619454136967,14,33249,4,7,0,0,14,0,0,0
1602170,2000.0,750.0,769.9375,450.87773194810444,16,34281,4,5,11,0,5,0,0,0
1602171,10000.0,89.0,409.1982222222223,1477.3102064075297,45,29331,2,12,0,0,45,0,0,0
1602172,5000.0,2000.0,2365.0,1900.7630046904849,4,48870,4,2,0,0,4,0,0,0
1602173,535.0,235.0,266.8888888888889,167.6741217693151,9,24685,3,1,0,0,6,0,0,3
1602174,1550.0,269.5,550.25,670.622782692824,4,24552,4,1,0,0,4,0,0,0
1602175,10.0,10.0,10.0,,1,79284,1,6,0,0,1,0,0,0
1602176,250.0,94.0,109.16666666666667,78.36942430990972,6,38346,3,11,0,0,5,0,0,1
1602177,4000.0,40.0,601.7142857142857,1498.5811861319264,7,31674,4,2,0,0,7,0,0,0
1602178,5000.0,280.0,567.8148148148148,999.2325145998893,27,50948,3,1,0,0,27,0,0,0
1602179,10000.0,135.0,998.5799999999999,2839.6477029378134,12,31376,3,1,1,0,11,0,0,0
1602180,1500.0,200.0,278.0133333333333,321.84774158216254,27,27399,4,5,0,0,12,14,0,1
1602181,1350.0,500.0,440.7391304347826,358.023135030952,23,28969,3,12,0,0,23,0,0,0
1602182,3500.0,82.0,389.7639,671.6177544441751,100,40149,3,7,0,0,86,0,0,14
1602183,378.0,286.0,275.0,118.76868274086398,4,26202,5,2,3,0,1,0,0,0
1602184,500.0,500.0,500.0,,1,36606,1,9,0,0,0,0,0,1
1602185,1000.0,90.0,141.73422764227644,191.47601191198407,123,27391,3,5,0,0,122,0,0,1
1602186,612.27,120.315,198.58625,206.1171726357538,8,27077,4,1,8,0,0,0,0,0
1602187,500.0,500.0,500.0,,1,69305,4,11,0,0,1,0,0,0
1602188,3894.91,175.57,384.95914285714287,506.62578974405994,140,8090,3,10,0,0,139,0,0,1
1602189,200.0,200.0,200.0,,1,46808,4,4,0,0,1,0,0,0
1602190,995.0,995.0,995.0,,1,38751,6,4,0,0,1,0,0,0
1602191,749.5,749.5,749.5,,1,41772,5,11,0,0,1,0,0,0
1602192,560.0,560.0,560.0,,1,36219,2,5,0,0,1,0,0,0
1602193,5770.0,999.0,2339.6666666666665,2994.2679127515185,3,38096,3,7,0,0,3,0,0,0
